,species,vP_insulin_in,vP_insulin_out,vP_chylo_in,vP_TG_to_L_FFA,vL_TG_stor_to_P_TG,vL_TG_secr_to_P_TG,vP_glucose_to_M_glucose,vP_TG_to_M_FFA,vP_glucose_to_A_glucose,vP_glucose_out,vP_NEFA_to_M_FFA,vP_chylo_to_M_FFA,vP_NEFA_to_A_FFA,vP_TG_to_A_FFA,vP_chylo_to_L_FFA,vP_glucose_to_L_glucose,vP_NEFA_to_L_FFA,vP_chylo_to_A_FFA,vP_chylo_to_P_NEFA,vL_glucose_in,vL_glucose_to_L_G6P,vL_G6P_to_L_glycogen,vL_G6P_to_L_pyruvate,vL_pyruvate_in,vL_pyruvate_to_L_FFA,vL_FFA_to_L_TG_secr,vL_FFA_to_L_TG_stor,vL_glucose_to_P_glucose,vL_glycogen_to_L_G6P,vL_FFA_out,vL_TG_stor_to_L_FFA,vL_G6P_to_L_glucose,vL_pyruvate_to_L_G6P,vM_TG_to_M_FFA,vM_FFA_to_M_TG,vM_glucose_to_M_G6P,vM_glycogen_to_M_G6P,vM_G6P_to_M_glycogen,vM_G6P_to_M_pyruvate,vM_glucose_to_P_glucose,vM_pyruvate_out,vM_FFA_out,vM_pyruvate_to_L_pyruvate,vA_FFA_and_A_glucose_to_A_TG,vA_glycerol_to_L_G6P,vA_TG_to_P_NEFA_and_A_glycerol,vA_glucose_to_P_glucose,Unnamed: 48
0,P_insulin,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P_glucose,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,P_TG,0,0,0,-1,1,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,P_NEFA,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
4,P_chylo,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,L_glucose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,L_glycogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,L_G6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,L_pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
9,L_TG_secr,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,L_TG_stor,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,L_FFA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,-3,-3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,M_glucose,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
13,M_glycogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
14,M_G6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0
15,M_pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0
16,M_TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,M_FFA,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,1,0,0,0,0,0,0
18,A_glucose,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
19,A_glycerol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
20,A_TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0
21,A_FFA,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0
